摄像头生命周期管理系统 - 功能清单
版本号：v1.1.0,日期：2026-03-14,编制：北京其点技术服务有限公司

模块,功能点,功能描述,优先级,状态,备注
1. 认证与授权,用户登录,支持用户名密码登录，生成 JWT Token,P0,已完成,
1. 认证与授权,用户登出,清除本地 Token，返回登录页,P0,已完成,
1. 认证与授权,JWT Token 认证,基于 JWT 的无状态认证机制,P0,已完成,
1. 认证与授权,权限控制,基于角色的访问控制 (RBAC),P0,已完成,
1. 认证与授权,用户审批流程,新用户注册后需管理员审批,P1,已完成,
1. 认证与授权,匿名注册,支持用户匿名注册（公司可配置）,P1,已完成,系统保护公司不可匿名注册
2. 用户管理,用户列表,分页展示用户列表，支持筛选,P0,已完成,关键词、公司类型、审批状态
2. 用户管理,创建用户,系统管理员创建新用户,P0,已完成,支持自动审批
2. 用户管理,编辑用户,修改用户信息、角色、状态,P0,已完成,
2. 用户管理,删除用户,删除用户账号,P1,已完成,不可恢复
2. 用户管理,重置密码,管理员重置用户密码,P1,已完成,
2. 用户管理,批量导入,Excel 批量导入用户,P1,已完成,支持模板下载
2. 用户管理,用户详情,查看用户完整信息,P2,已完成,
2. 用户管理,角色分配,为用户分配角色,P0,已完成,支持多角色
3. 公司管理,公司列表,分页展示公司列表,P0,已完成,
3. 公司管理,创建公司,系统管理员创建公司,P0,已完成,
3. 公司管理,编辑公司,修改公司信息,P0,已完成,
3. 公司管理,删除公司,删除公司（系统保护公司不可删除）,P1,已完成,
3. 公司管理,公司类型管理,管理公司类型（甲方/乙方/监理方）,P0,已完成,
3. 公司管理,匿名注册配置,配置公司是否允许匿名注册,P1,已完成,
4. 角色管理,角色列表,分页展示角色列表,P0,已完成,
4. 角色管理,创建角色,创建新角色,P0,已完成,
4. 角色管理,编辑角色,修改角色信息和权限,P0,已完成,
4. 角色管理,删除角色,删除角色,P1,已完成,系统保护角色不可删除
4. 角色管理,角色与公司类型关联,角色绑定到特定公司类型,P0,已完成,
5. 作业区管理,作业区列表,分页展示作业区列表,P0,已完成,
5. 作业区管理,创建作业区,创建新作业区,P0,已完成,
5. 作业区管理,编辑作业区,修改作业区信息,P0,已完成,
5. 作业区管理,删除作业区,删除作业区,P1,已完成,
5. 作业区管理,作业区与公司关联,作业区绑定到公司,P0,已完成,
6. 个人中心,个人信息修改,修改姓名、邮箱、手机号,P0,已完成,
6. 个人中心,密码修改,修改登录密码,P0,已完成,
7. 系统管理,系统配置,管理系统全局配置,P1,已完成,
8. 界面与体验,统一布局,AdminLayout 统一导航布局,P0,已完成,紫色渐变导航栏
8. 界面与体验,首页导航,所有页面支持返回首页,P0,已完成,
8. 界面与体验,页面间跳转,顶部导航支持快速跳转各管理页面,P0,已完成,
8. 界面与体验,版权声明,所有页面底部显示版权声明,P2,已完成,
8. 界面与体验,响应式设计,适配不同屏幕尺寸,P1,已完成,
